Departamento;Municipio;División;Personas en hogares particulares;Sin servicio de energía eléctrica;No tiene;Estrato 1;Estrato 2;Estrato 3;Estrato 4;Estrato 5;Estrato 6;No sabe o no responde
05_Antioquia;;Cabecera;2.334;17;22;613;1.476;193;7;0;0;6
05_Antioquia;;Centro poblado;490;45;22;131;292;0;0;0;0;0
05_Antioquia;;Rural disperso;4.578;317;129;2.073;1.981;68;6;0;0;4
05_Antioquia;05138_Cañasgordas;Total;13.562;314;12;9.085;4.020;113;1;4;0;13
05_Antioquia;;Cabecera;4.734;41;1;1.431;3.173;80;1;4;0;3
05_Antioquia;;Centro poblado;968;19;5;761;161;22;0;0;0;0
05_Antioquia;;Rural disperso;7.860;254;6;6.893;686;11;0;0;0;10
05_Antioquia;05142_Caracolí;Total;3.955;65;6;1.951;1.853;75;2;0;0;3
05_Antioquia;;Cabecera;2.431;5;4;992;1.378;49;0;0;0;3
05_Antioquia;;Rural disperso;1.524;60;2;959;475;26;2;0;0;0
05_Antioquia;05145_Caramanta;Total;4.269;52;47;1.296;2.057;813;0;3;0;1
05_Antioquia;;Cabecera;1.946;1;0;456;725;761;0;3;0;0
05_Antioquia;;Centro poblado;279;0;0;115;164;0;0;0;0;0
05_Antioquia;;Rural disperso;2.044;51;47;725;1.168;52;0;0;0;1
05_Antioquia;05147_Carepa;Total;45.300;1.022;337;25.835;16.545;1.358;75;2;6;120
05_Antioquia;;Cabecera;31.631;613;170;13.470;16.129;1.120;35;2;1;91
05_Antioquia;;Centro poblado;6.625;63;10;6.324;203;18;6;0;0;1
05_Antioquia;;Rural disperso;7.044;346;157;6.041;213;220;34;0;5;28
05_Antioquia;05148_El Carmen De Viboral;Total;53.606;203;48;3.221;27.202;22.076;582;194;47;33
05_Antioquia;;Cabecera;32.881;9;38;381;12.818;19.557;55;6;5;12
05_Antioquia;;Centro poblado;1.419;8;0;49;1.195;150;15;2;0;0
05_Antioquia;;Rural disperso;19.306;186;10;2.791;13.189;2.369;512;186;42;21
05_Antioquia;05150_Carolina;Total;3.320;38;2;1.121;2.051;72;5;2;25;4
